document_id,company,FY,physical_page,provenance,provenance_source,orphan_start_frac,measured,document_level_orphan_start_frac,full_width_block,reason_codes,document_class
INE009A01021/2012,INE009A01021,2012,35,native,page_kind:digital,,False,0.0066,,span_truncated,pure_native
INE009A01021/2012,INE009A01021,2012,36,native,page_kind:digital,0.0,True,0.0066,,span_truncated,pure_native
INE009A01021/2012,INE009A01021,2012,37,native,page_kind:digital,0.0,True,0.0066,,span_truncated,pure_native
INE009A01021/2012,INE009A01021,2012,38,native,page_kind:digital,0.0,True,0.0066,,span_truncated,pure_native
INE009A01021/2012,INE009A01021,2012,39,native,page_kind:digital,0.0,True,0.0066,,span_truncated,pure_native
INE009A01021/2012,INE009A01021,2012,40,native,page_kind:digital,0.0,True,0.0066,,span_truncated,pure_native
INE009A01021/2012,INE009A01021,2012,41,native,page_kind:digital,0.0,True,0.0066,,span_truncated,pure_native
INE009A01021/2012,INE009A01021,2012,42,native,page_kind:digital,0.0,True,0.0066,,span_truncated,pure_native
INE009A01021/2012,INE009A01021,2012,43,native,page_kind:digital,0.0,True,0.0066,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,17,native,page_kind:digital,,False,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,18,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,19,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,20,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,21,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,22,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,23,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,24,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,25,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,26,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,27,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,28,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2012,INE040A01034,2012,29,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2013,INE040A01034,2013,17,native,page_kind:digital,,False,0.0,,span_truncated,pure_native
INE040A01034/2013,INE040A01034,2013,18,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2013,INE040A01034,2013,19,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2013,INE040A01034,2013,20,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2013,INE040A01034,2013,21,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2013,INE040A01034,2013,22,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2013,INE040A01034,2013,23,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2013,INE040A01034,2013,24,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE040A01034/2013,INE040A01034,2013,25,native,page_kind:digital,0.0,True,0.0,,span_truncated,pure_native
INE002A01018/2013,INE002A01018,2013,20,native,page_kind:digital,,False,0.0244,,span_truncated,pure_native
INE002A01018/2013,INE002A01018,2013,21,native,page_kind:digital,0.0,True,0.0244,,span_truncated,pure_native
INE002A01018/2013,INE002A01018,2013,22,native,page_kind:digital,0.0,True,0.0244,,span_truncated,pure_native
INE002A01018/2013,INE002A01018,2013,23,native,page_kind:digital,0.0,True,0.0244,,span_truncated,pure_native
INE002A01018/2013,INE002A01018,2013,24,native,page_kind:digital,0.093,True,0.0244,False,span_truncated,pure_native
INE002A01018/2013,INE002A01018,2013,25,native,page_kind:digital,0.0,True,0.0244,,span_truncated,pure_native
INE002A01018/2013,INE002A01018,2013,26,native,page_kind:digital,0.0,True,0.0244,,span_truncated,pure_native
