file,expected_sha256,recovered_sha256,status,source
arpipe/models.py,e40faa0b467c74bdc405f5d7de898633b07a3f2b5da425e8f3c1b05c6c2b2217,e40faa0b467c74bdc405f5d7de898633b07a3f2b5da425e8f3c1b05c6c2b2217,MATCH,arpipe-0.1.0/arpipe/models.py
arpipe/segment.py,6b1122cefdb63ce5d4fdaac0e8a1383b6213cb4d57c3a5d5cdd3c232bffb3837,6b1122cefdb63ce5d4fdaac0e8a1383b6213cb4d57c3a5d5cdd3c232bffb3837,MATCH,arpipe-0.1.0/arpipe/segment.py
arpipe/config.py,93aba31b53d4173bde3ad322bd5625416eca29e86b89887461f5bc2c7d760c7c,93aba31b53d4173bde3ad322bd5625416eca29e86b89887461f5bc2c7d760c7c,MATCH,arpipe-0.1.0/arpipe/config.py (git blob 6dfb8912)
arpipe/ocr.py,affec70f25339e20b5619afe7c7462cc2eb8700d19b4c34e155341e7c0f4b684,affec70f25339e20b5619afe7c7462cc2eb8700d19b4c34e155341e7c0f4b684,MATCH,arpipe-0.1.0/arpipe/ocr.py
arpipe/patterns.py,950400cdbe31d4b4548538f5750f32a97add41f958f7db3da75ded46beb6e83b,950400cdbe31d4b4548538f5750f32a97add41f958f7db3da75ded46beb6e83b,MATCH,arpipe-0.1.0/arpipe/patterns.py
arpipe/store.py,9f5a1b8ee3f979306bff6f4cd876083eadcdbe4bd7d1631a0f7f709167cd5bcd,9f5a1b8ee3f979306bff6f4cd876083eadcdbe4bd7d1631a0f7f709167cd5bcd,MATCH,arpipe-0.1.0/arpipe/store.py
arpipe/triage.py,351a4aac1efcee4899999b7c76899856a963d1687442fea4a75dcab9cc754892,351a4aac1efcee4899999b7c76899856a963d1687442fea4a75dcab9cc754892,MATCH,arpipe-0.1.0/arpipe/triage.py
arpipe/configs/default.yaml,fe7534793407a8f51fc89bab2371ee952acac55db6eb9353892b45a0c1a72d1a,fe7534793407a8f51fc89bab2371ee952acac55db6eb9353892b45a0c1a72d1a,MATCH,arpipe-0.1.0/arpipe/configs/default.yaml
arpipe/textlayer.py (baseline),09c23e5c76d581924200f69396c6d9720d5cde3917400fb14fabaa4943556a85,09c23e5c76d581924200f69396c6d9720d5cde3917400fb14fabaa4943556a85,MATCH,git blob 731e4bf8b6d3cc2fdffc303890b65cfcce21b6ac (commit 0fb8cbf6)
arpipe/textlayer.py (after-run),6117552014bcc60f16e3884dcebb3c4e086acbe8a22066fed134aa2dc65c1c16,02e868e011aa4d957f83d3b3d93ad16739f5b7d426dd18011de17786aac06f77,MISMATCH,UNVERIFIED (overwritten by concurrent task)
arpipe/cli.py,68c4ba0d8ccf383af718e5acb16e5c0d2717b6f99f30c5de585eeef949c45350,69c9d4519b7f3ba42c316f5395a9a2e21eb77053718458376ff32e6b7cbb48bb,MISMATCH,UNVERIFIED (overwritten by concurrent task)
arpipe/pipeline.py,93c62172f2b9aae0b92091352edabb389092baae9461f76cb1959b88b71f1bad,66ecf6cfa0d8a7ea46c928fbf646fbb06c4f5687a33e46555438e976bf76060d,MISMATCH,UNVERIFIED (overwritten by concurrent task)
arpipe/verify.py,88b7e69f3382059bb26eeeebbc8670bd29680d1850582165e78946b5482d733a,29dd0a415d58874a53e01d52c8b802ad2f9fb550eb2c2a50efa9525f780f4b63,MISMATCH,UNVERIFIED (overwritten by concurrent task)
arpipe/tests/test_pb2_candidate_body_script.py,b750e983a15dc9068601920ed2d0722e57f734e80753f704afbf60d09b7564e5,b750e983a15dc9068601920ed2d0722e57f734e80753f704afbf60d09b7564e5,MATCH,arpipe-0.1.0/arpipe/tests/test_pb2_candidate_body_script.py
tools/pb2_phase1_baseline.py,2e312db0f5dc6a3ce4f989d6b2b1891f87f4c29680257a0a99db7367205f414b,2e312db0f5dc6a3ce4f989d6b2b1891f87f4c29680257a0a99db7367205f414b,MATCH,arpipe-0.1.0/tools/pb2_phase1_baseline.py
tools/pb2_phase1_diagnostic.py,fa7834564b3fb7fe84346cf73e4e44e695ad7ea86770b71e825c385ab9161b8e,fa7834564b3fb7fe84346cf73e4e44e695ad7ea86770b71e825c385ab9161b8e,MATCH,arpipe-0.1.0/tools/pb2_phase1_diagnostic.py
scratch/pb2_phase1/pre_b2_sources/models.py,4f4c45bde8bc4e6ac558698606224a66dc9bdf9887fc6363afcd310b130586fc,4f4c45bde8bc4e6ac558698606224a66dc9bdf9887fc6363afcd310b130586fc,MATCH,arpipe-0.1.0/scratch/pb2_phase1/pre_b2_sources/models.py
scratch/pb2_phase1/pre_b2_sources/segment.py,e90c67b7d334fe896029a2960dc49b1782f1a1b9f692f0be9feec73890de96ba,e90c67b7d334fe896029a2960dc49b1782f1a1b9f692f0be9feec73890de96ba,MATCH,arpipe-0.1.0/scratch/pb2_phase1/pre_b2_sources/segment.py (git blob f2e74bb2)
reports/pb2_phase1_baseline.json,6e4ae93727ef1be2f746ddf2f3d0b924139dff6836f232e84aaf481ff8247f6f,6e4ae93727ef1be2f746ddf2f3d0b924139dff6836f232e84aaf481ff8247f6f,MATCH,arpipe-0.1.0/reports/pb2_phase1_baseline.json
reports/pb2_phase1_candidate_body_script.csv,57d227ee108a8b83cd06c3c38f1056c08dbf351a4012afa8cd6fa985e48cbba3,57d227ee108a8b83cd06c3c38f1056c08dbf351a4012afa8cd6fa985e48cbba3,MATCH,arpipe-0.1.0/reports/pb2_phase1_candidate_body_script.csv
reports/pb2_phase1_candidate_body_script.md,46fc067a10cd698e2460ef323cb80d403b176fa3c773d6496be2029abc4ba37d,46fc067a10cd698e2460ef323cb80d403b176fa3c773d6496be2029abc4ba37d,MATCH,arpipe-0.1.0/reports/pb2_phase1_candidate_body_script.md
